"";"rtt";"cp"
"1";132.226447314454;0
"2";132.428349628273;0
"3";133.697693512782;0
"4";133.642814059725;0
"5";132.270959768831;0
"6";132.854308730336;0
"7";132.135173993723;0
"8";132.353754403011;0
"9";133.485414833095;0
"10";136.188682302841;0
"11";132.03621167406;0
"12";131.988980857947;0
"13";132.266182111798;0
"14";132.125627191669;0
"15";132.426208138784;0
"16";132.810684340873;0
"17";131.99146600392;0
"18";133.184148061581;0
"19";133.621103617376;0
"20";132.168300505675;0
"21";134.264117712007;0
"22";134.010833680313;0
"23";132.468163139643;0
"24";132.089069216335;0
"25";132.259967858305;0
"26";133.115548611429;0
"27";133.453928256876;0
"28";131.975353680992;0
"29";133.26927867746;0
"30";132.146062004408;0
"31";132.266193245978;0
"32";132.02647530049;0
"33";132.798471070136;0
"34";132.648734614229;0
"35";131.989501774577;0
"36";134.546214565646;0
"37";132.877408672559;0
"38";135.637993621655;0
"39";132.306122254707;0
"40";131.987863217698;0
"41";133.270175830015;0
"42";132.435356912408;0
"43";132.647914206467;0
"44";133.845464813089;0
"45";132.346567814785;0
"46";133.305944464953;0
"47";132.176098747142;0
"48";133.426933994389;0
"49";133.24253655091;0
"50";133.205710952072;0
"51";134.129125441461;0
"52";132.16752081731;0
"53";132.082297235949;0
"54";132.788966842368;0
"55";133.316894588572;0
"56";133.517890123017;0
"57";132.244948681234;0
"58";132.003101011812;0
"59";132.168336051529;0
"60";132.815293485005;0
"61";134.105650942366;0
"62";132.816589513001;0
"63";132.460016051057;0
"64";132.195144611391;0
"65";132.522687044374;0
"66";132.246844499958;0
"67";134.419657989409;0
"68";131.974868063416;0
"69";132.052522697814;0
"70";133.293663548047;0
"71";132.43829750471;0
"72";133.138956663656;0
"73";133.116176624154;0
"74";134.249794731399;0
"75";132.93964925253;0
"76";132.037887518977;0
"77";133.476536181844;0
"78";133.959969802055;0
"79";132.482559136386;0
"80";133.235276414678;0
"81";133.191422251847;0
"82";132.168488914521;0
"83";132.577422060896;0
"84";132.023360999892;0
"85";133.474625193424;0
"86";134.943213594512;0
"87";132.699858516328;0
"88";132.170755638883;0
"89";133.713747696074;0
"90";132.36383754433;0
"91";133.95512597201;0
"92";132.765201271927;0
"93";133.238108656916;0
"94";132.453805514887;0
"95";132.650043292448;0
"96";132.058317230841;0
"97";133.589191175388;0
"98";132.696115263346;0
"99";132.87741142734;0
"100";132.030496277872;0

