"";"rtt";"cp"
"1";163.946349074204;0
"2";163.405705952467;0
"3";163.599562926404;0
"4";163.331118831747;0
"5";163.760699967231;0
"6";163.532596870649;0
"7";163.83519084022;0
"8";163.404216614294;0
"9";163.596259540302;0
"10";163.349731684345;0
"11";163.596111162201;0
"12";164.271778161459;0
"13";163.403494761371;0
"14";164.696767333004;0
"15";163.703317170203;0
"16";164.936317474711;0
"17";163.466698258442;0
"18";163.360067035505;0
"19";163.523226189602;0
"20";163.524703779402;0
"21";163.705673314539;0
"22";163.350492865704;0
"23";163.422449698623;0
"24";164.0169957944;0
"25";163.647501979584;0
"26";163.765867413054;0
"27";164.632124963509;0
"28";163.456582189734;0
"29";164.098383050134;0
"30";163.709896945779;0
"31";163.830645813506;0
"32";163.795590361812;0
"33";163.367914639171;0
"34";163.480463624014;0
"35";163.447767986895;0
"36";163.506191960723;0
"37";187.863871230368;1
"38";163.459088812818;1
"39";163.852634375235;0
"40";163.367988598736;0
"41";164.044252391895;0
"42";163.483612102592;0
"43";163.386005254495;0
"44";163.347966976319;0
"45";163.525537710558;0
"46";163.338807150909;0
"47";163.6365023676;0
"48";163.360171626824;0
"49";163.569059023366;0
"50";163.906130800235;0
"51";164.193711086458;0
"52";163.692154153453;0
"53";163.808742641309;0
"54";163.582605618282;0
"55";163.98923745349;0
"56";163.920535166926;0
"57";163.399567359222;0
"58";163.751588190244;0
"59";163.428335546827;0
"60";163.558611509257;0
"61";163.384246213451;0
"62";163.633188033784;0
"63";163.51966808612;0
"64";163.500628499566;0
"65";163.5922004955;0
"66";164.031416752339;0
"67";163.513662359675;0
"68";163.403672868229;0
"69";163.793490368585;0
"70";163.557271546937;0
"71";163.771587135137;0
"72";163.441889548632;0
"73";163.452634221319;0
"74";163.81816097335;0
"75";163.490699759208;0
"76";163.748560906492;0
"77";163.842580265518;0
"78";163.656756396778;0
"79";164.08265023564;0
"80";163.902205793844;0
"81";164.138040698228;0
"82";163.357139228884;0
"83";163.339212510684;0
"84";163.372619724261;0
"85";163.823188808408;0
"86";164.358988059089;0
"87";163.936308204112;0
"88";164.210748503198;0
"89";163.340222659047;0
"90";163.388082445481;0
"91";163.405643781294;0
"92";163.457325611688;0
"93";164.065991042382;0
"94";163.776611289126;0
"95";164.942206956519;0
"96";163.4539443982;0
"97";164.26497940298;0
"98";163.545367027315;0
"99";163.445812706773;0
"100";163.691447989977;0

