"","trace","cpt"
"1",83.1714573122134,0
"2",82.9971225344421,0
"3",83.271888678234,0
"4",83.2869227352538,0
"5",83.0382044155621,0
"6",83.9884183225799,0
"7",83.0882101102506,0
"8",84.0510912561723,0
"9",83.9898619079329,0
"10",83.2612097535172,0
"11",83.3941981191522,0
"12",83.0060405523731,0
"13",83.0265654797437,0
"14",83.1940730112426,0
"15",83.320100919883,0
"16",83.3843512282237,0
"17",83.0589451906122,0
"18",83.6855415972356,0
"19",83.2411207861347,0
"20",83.0478374526298,0
"21",83.316817012094,0
"22",83.8234921242271,0
"23",83.828520487079,0
"24",83.0257669364909,0
"25",83.3745204411191,0
"26",83.0395992432437,0
"27",83.4341529662344,0
"28",83.9376743499431,0
"29",83.2372399171448,0
"30",83.0868242489572,0
"31",83.6566863021837,0
"32",83.9556756687995,0
"33",83.119443154059,0
"34",83.605748279366,0
"35",83.7191504480968,0
"36",83.6691313463616,0
"37",83.8901073656173,0
"38",83.2152061229417,0
"39",83.0485843505538,0
"40",83.0448759957178,0
"41",83.3500991727903,0
"42",83.2028964853581,0
"43",83.3109773032431,0
"44",83.3167777950377,0
"45",83.497280441036,0
"46",83.3855031278907,0
"47",83.1754665894249,0
"48",83.3602810430171,0
"49",83.2210183249964,0
"50",83.1029337285326,0
"51",83.4910567514058,0
"52",83.0309616726691,0
"53",83.3338087811909,0
"54",83.7356268043882,0
"55",83.392801475661,0
"56",83.2627906974524,0
"57",83.0358495950179,0
"58",83.2179859947626,0
"59",83.0650830626083,0
"60",83.0749598301372,0
"61",82.9984098848158,0
"62",83.1533188153862,0
"63",83.0700944637346,0
"64",83.0933806520307,0
"65",83.3178696531827,0
"66",84.3612406005224,0
"67",84.7758352936104,0
"68",82.9978961688136,0
"69",83.0298585141727,0
"70",83.553807058501,0
"71",83.3187391146916,0
"72",83.3690992649002,0
"73",83.5967901850018,0
"74",83.0397564861299,0
"75",84.0107551962346,0
"76",83.0161672157245,0
"77",83.0955522231997,0
"78",83.9133230929793,0
"79",83.3723274147198,0
"80",83.2369448614932,0
"81",83.3721633327559,0
"82",83.4442228813245,0
"83",83.1223274079494,0
"84",83.0162668982442,0
"85",83.7820631728658,0
"86",83.9227844445864,0
"87",83.7152201592023,0
"88",83.2668481686722,0
"89",83.0486510533973,0
"90",83.2158225195581,0
"91",85.9538566107022,0
"92",83.1298606325979,0
"93",83.2720044287794,0
"94",83.1726546279823,0
"95",83.2683841953263,0
"96",83.1338155737907,0
"97",83.0484764191909,0
"98",83.2966964221828,0
"99",83.2244241422373,0
"100",83.9070782703538,0
